 INFO | 2016-09-22 16:13:22,970 | Common.java | 64 | Startup activites...
 INFO | 2016-09-22 16:13:22,972 | Common.java | 64 | Test Output Directory creation successful :D:\SWAUT\TestResults\2016_09_22_04_13_22_PM
 INFO | 2016-09-22 16:13:22,972 | Common.java | 64 | Log File creation successful : LogFile.log
 INFO | 2016-09-22 16:13:23,164 | Common.java | 64 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./src/test/resources/TestCaseSettings.xls
 INFO | 2016-09-22 16:13:23,250 | Common.java | 64 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2016-09-22 16:13:23,381 | Common.java | 64 | Getting value of Browser from Test Configuration file : Chrome
 INFO | 2016-09-22 16:13:23,382 | Common.java | 64 | Getting value of ElementLoadWaitTime from Test Configuration file : 30
 INFO | 2016-09-22 16:13:23,383 | Common.java | 64 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2016-09-22 16:13:23,383 | Common.java | 64 | Getting value of PageLoadWaitTime from Test Configuration file : 50
 INFO | 2016-09-22 16:13:23,383 | Common.java | 64 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2016-09-22 16:13:23,384 | Common.java | 64 | Element time out set
 INFO | 2016-09-22 16:13:23,384 | Common.java | 64 | ##### Start of Test Case : Protection Plan Without Login #####
 INFO | 2016-09-22 16:13:23,384 | Common.java | 64 | Test Case Name: TC_001
 INFO | 2016-09-22 16:13:23,384 | Common.java | 64 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2016-09-22 16:13:23,435 | Common.java | 64 | Test Data Set Name: TC_001
 INFO | 2016-09-22 16:13:23,436 | Common.java | 64 | Execution Flag: Execute
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Test Data Set Name: TC_001_PPWL_1
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Execution Flag: YES
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Test Data Set Name: TC_001_PPWL_2
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Execution Flag: NO
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Test Data Set Name: TC_001_PPWL_3
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Execution Flag: NO
 INFO | 2016-09-22 16:13:23,437 | Common.java | 64 | Test Data Set Name: 
 INFO | 2016-09-22 16:13:23,438 | Common.java | 64 | Execution Flag: 
 INFO | 2016-09-22 16:13:23,442 | Common.java | 64 | Getting value of Browser from Test Configuration file : Chrome
 INFO | 2016-09-22 16:13:26,292 | Common.java | 64 | Getting value of url from Test Configuration file : http://www.havertys.com/
 INFO | 2016-09-22 16:13:35,221 | Common.java | 64 | Entered value - Amalfi Sofa in the text field- Search Box
ERROR | 2016-09-22 16:13:35,222 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:35,222 | Common.java | 64 | Entered in Search Box as: Amalfi Sofa
ERROR | 2016-09-22 16:13:35,222 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:35,315 | Common.java | 64 | Clicked on WebElement-Searching Element
ERROR | 2016-09-22 16:13:35,316 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:46,437 | Common.java | 64 | Clicked on WebElement-Amalfi Sofa
ERROR | 2016-09-22 16:13:46,437 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:46,812 | Common.java | 64 | Taken screenshot of failing screen
 INFO | 2016-09-22 16:13:53,296 | Common.java | 64 | Clicked on WebElement-Add To Cart Button
ERROR | 2016-09-22 16:13:53,297 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:54,116 | Common.java | 64 | Entered value - 30343 in the text field- Zipcode
ERROR | 2016-09-22 16:13:54,116 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:54,116 | Common.java | 64 | Entered in ZipCode as: 30343
ERROR | 2016-09-22 16:13:54,116 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:56,218 | Common.java | 64 | Clicked on -Popup Ok- Element
ERROR | 2016-09-22 16:13:56,219 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:56,219 | Common.java | 64 | Successfully Added to Cart
ERROR | 2016-09-22 16:13:56,219 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:13:56,407 | Common.java | 64 | Taken screenshot of failing screen
 INFO | 2016-09-22 16:13:57,567 | Common.java | 64 | Clicked on WebElement-Go To Cart Button
ERROR | 2016-09-22 16:13:57,567 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:08,244 | Common.java | 64 | Expected Protection Plan Amount in Shopping Cart is 0 -->and Actual is -->0.0
ERROR | 2016-09-22 16:14:08,244 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:08,316 | Common.java | 64 | Clicked on WebElement-Checkout Button
ERROR | 2016-09-22 16:14:08,316 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:12,499 | Common.java | 64 | Taken screenshot of failing screen
 INFO | 2016-09-22 16:14:12,499 | Common.java | 64 | Successfully Navigated to SIGN INPage!!
ERROR | 2016-09-22 16:14:12,499 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:19,105 | Common.java | 64 | Getting value of ElementLoadWaitTime from Test Configuration file : 30
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Getting value of PageLoadWaitTime from Test Configuration file : 50
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Element time out set
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | ##### Start of Test Case : Protection Plan as Guest User #####
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Test Case Name: TC_002
 INFO | 2016-09-22 16:14:19,106 | Common.java | 64 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Test Data Set Name: TC_002
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Execution Flag: Execute
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Test Data Set Name: TC_002_PPGU_1
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Execution Flag: YES
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Test Data Set Name: TC_002_PPGU_2
 INFO | 2016-09-22 16:14:19,194 | Common.java | 64 | Execution Flag: NO
 INFO | 2016-09-22 16:14:19,195 | Common.java | 64 | Test Data Set Name: TC_002_PPGU_3
 INFO | 2016-09-22 16:14:19,195 | Common.java | 64 | Execution Flag: NO
 INFO | 2016-09-22 16:14:19,195 | Common.java | 64 | Test Data Set Name: 
 INFO | 2016-09-22 16:14:19,195 | Common.java | 64 | Execution Flag: 
 INFO | 2016-09-22 16:14:19,195 | Common.java | 64 | Getting value of Browser from Test Configuration file : Chrome
 INFO | 2016-09-22 16:14:21,736 | Common.java | 64 | Getting value of url from Test Configuration file : http://www.havertys.com/
 INFO | 2016-09-22 16:14:34,098 | Common.java | 64 | Entered value - Amalfi Sofa in the text field- Search Box
ERROR | 2016-09-22 16:14:34,099 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:34,099 | Common.java | 64 | Entered in Search Box as: Amalfi Sofa
ERROR | 2016-09-22 16:14:34,099 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2016-09-22 16:14:34,195 | Common.java | 64 | Clicked on WebElement-Searching Element
ERROR | 2016-09-22 16:14:34,195 | Common.java | 79 | Invalid log Type :PASS. Unable to log the message.
